player_key,canonical_player_id,canonical_player_name,display_player_name,three_wicket_innings,five_wicket_innings,ten_wicket_matches,bbi,bbi_wickets_sort,bbi_runs_sort
raw_d92806d2_3ce2_4e52_8d4d_e9b13e2b178f,raw_d92806d2_3ce2_4e52_8d4d_e9b13e2b178f,Billy Anderson,Billy Anderson,0,0,0,2/6,2,6
billy_rowston,billy_rowston,Billy Rowston,Billy Rowston,1,0,0,3/7,3,7
raw_6d74dd55_51cb_45b4_842c_acf29683689d,raw_6d74dd55_51cb_45b4_842c_acf29683689d,Billy Wilson,Billy Wilson,2,0,0,3/24,3,24
raw_488dc6f7_fc5d_4e76_af8c_823d5c880e20,raw_488dc6f7_fc5d_4e76_af8c_823d5c880e20,Binath Jayaweera,Binath Jayaweera,0,0,0,2/4,2,4
raw_9e94ffaf_f590_4ada_a20a_01e91f118856,raw_9e94ffaf_f590_4ada_a20a_01e91f118856,Blake Aldridge,Blake Aldridge,0,0,0,1/2,1,2
raw_7b3860d9_3b27_42f4_94e5_41cb9e6e2da5,raw_7b3860d9_3b27_42f4_94e5_41cb9e6e2da5,Blake Willemer,Blake Willemer,0,0,0,2/16,2,16
raw_f1f066c6_f8f5_4b1f_82d9_f43041bebe43,raw_f1f066c6_f8f5_4b1f_82d9_f43041bebe43,Boyd Neilson,Boyd Neilson,0,0,0,2/1,2,1
raw_37433398_d988_4611_a1a9_3ceca172155c,raw_37433398_d988_4611_a1a9_3ceca172155c,Brad Bennett,Brad Bennett,4,1,0,5/24,5,24
raw_7577b56a_09e3_4a58_8288_d5e8f8dd3853,raw_7577b56a_09e3_4a58_8288_d5e8f8dd3853,Bradley Bennett,Bradley Bennett,2,1,0,5/34,5,34
raw_49a37245_3bc1_4745_98c3_bed774f7edac,raw_49a37245_3bc1_4745_98c3_bed774f7edac,Bradley Dewaal,Bradley Dewaal,7,0,0,4/11,4,11
raw_36d6a20f_1a6e_494d_973d_901cf14a7dc7,raw_36d6a20f_1a6e_494d_973d_901cf14a7dc7,Bradley Ross,Bradley Ross,0,0,0,2/7,2,7
raw_19f4088d_be49_498e_9a49_f3934043359b,raw_19f4088d_be49_498e_9a49_f3934043359b,Bradley Sibbons,Bradley Sibbons,3,0,0,4/33,4,33
raw_25a06c2a_bd16_45d5_b4a9_06511381ba94,raw_25a06c2a_bd16_45d5_b4a9_06511381ba94,Bradley Wyatt,Bradley Wyatt,1,0,0,3/16,3,16
raw_4d53045a_4123_48c5_93ac_0390a8b0d11e,raw_4d53045a_4123_48c5_93ac_0390a8b0d11e,Brady Bevan,Brady Bevan,0,0,0,2/9,2,9
raw_35757bca_acac_4540_a3c3_9ee2432a40ef,raw_35757bca_acac_4540_a3c3_9ee2432a40ef,Braiden Windle,Braiden Windle,0,0,0,1/14,1,14
raw_2bdebedd_e992_4e5f_9274_b8701a090eed,raw_2bdebedd_e992_4e5f_9274_b8701a090eed,Brandon Germain,Brandon Germain,0,0,0,2/6,2,6
raw_a367d1bf_f7f0_4880_8308_7934933255f4,raw_a367d1bf_f7f0_4880_8308_7934933255f4,Brandon Keane,Brandon Keane,0,0,0,2/8,2,8
raw_010e034a_ef4e_4ae8_9bbf_cee7128ffda4,raw_010e034a_ef4e_4ae8_9bbf_cee7128ffda4,Brayden Lobow,Brayden Lobow,8,1,0,5/69,5,69
raw_c591ebf0_eb49_4b22_9709_1f00088574e6,raw_c591ebf0_eb49_4b22_9709_1f00088574e6,Brayden Nicholls,Brayden Nicholls,0,0,0,2/5,2,5
raw_aced7373_9c92_4313_aba4_ab274cac95cb,raw_aced7373_9c92_4313_aba4_ab274cac95cb,Brendan Mckeough,Brendan Mckeough,3,0,0,3/31,3,31
brendan_russell,brendan_russell,Brendan Russell,Brendan Russell,9,0,0,4/16,4,16
raw_97285e2a_2231_4914_aee4_7cb7e7f2bc75,raw_97285e2a_2231_4914_aee4_7cb7e7f2bc75,Brendon Bates,Brendon Bates,0,0,0,1/0,1,0
raw_a29ace60_8f31_4a63_bd81_c33ad1ea93fe,raw_a29ace60_8f31_4a63_bd81_c33ad1ea93fe,Brenton Stagg,Brenton Stagg,0,0,0,0/5,0,5
raw_cff0e92f_a6d0_40f4_80c7_9ef3eed4aaba,raw_cff0e92f_a6d0_40f4_80c7_9ef3eed4aaba,Brett Brodie,Brett Brodie,2,0,0,3/5,3,5
raw_ca43b431_cffc_4c51_bd6e_6e11e22e8c20,raw_ca43b431_cffc_4c51_bd6e_6e11e22e8c20,Brett Julian,Brett Julian,0,0,0,0/10,0,10
raw_f5cdcaed_ff90_498a_aa43_4b738b4a634d,raw_f5cdcaed_ff90_498a_aa43_4b738b4a634d,Brett Julian,Brett Julian,0,1,0,5/19,5,19
raw_6e587d08_31a2_4cf4_abf0_e5ebbc8230fb,raw_6e587d08_31a2_4cf4_abf0_e5ebbc8230fb,Brett Richards,Brett Richards,3,0,0,4/57,4,57
raw_2312a7de_30b8_4017_aa94_d84a6fc419c8,raw_2312a7de_30b8_4017_aa94_d84a6fc419c8,Brett Roberts,Brett Roberts,4,0,0,4/24,4,24
raw_343febad_21dd_4a44_b480_3bd81fff6767,raw_343febad_21dd_4a44_b480_3bd81fff6767,Bridgette Gabb,Bridgette Gabb,0,0,0,0/7,0,7
brock_carlisle,brock_carlisle,Brock Carlisle,Brock Carlisle,1,0,0,4/2,4,2
raw_cade3106_584e_4f8b_94cb_a7c3fa7ddf3e,raw_cade3106_584e_4f8b_94cb_a7c3fa7ddf3e,Brock Humphrey,Brock Humphrey,1,0,0,4/0,4,0
raw_cf2b623f_6113_459e_994f_2dad691144ba,raw_cf2b623f_6113_459e_994f_2dad691144ba,Brock Hutchinson,Brock Hutchinson,0,0,0,2/3,2,3
brodie_hague,brodie_hague,Brodie Hague,Brodie Hague,0,0,0,2/11,2,11
raw_351d9829_4770_4bb1_b9d7_ca2dc73f0356,raw_351d9829_4770_4bb1_b9d7_ca2dc73f0356,Bronwen Bosley,Bronwen Bosley,0,0,0,0/6,0,6
raw_f7b5d072_df3b_4c2b_a9be_d2c74850f62d,raw_f7b5d072_df3b_4c2b_a9be_d2c74850f62d,Brooke Mullen,Brooke Mullen,2,0,0,4/19,4,19
raw_1de6b958_d898_443d_948c_1c538c3ffec0,raw_1de6b958_d898_443d_948c_1c538c3ffec0,Bryan Madathil,Bryan Madathil,1,0,0,3/11,3,11
raw_3132ab5f_295e_4f43_8eab_73495a375654,raw_3132ab5f_295e_4f43_8eab_73495a375654,Buddika De Silva,Buddika De Silva,24,4,0,6/8,6,8
raw_3cfea35b_1630_441a_98b0_9b4c8d100f1a,raw_3cfea35b_1630_441a_98b0_9b4c8d100f1a,Cade Harrington,Cade Harrington,0,0,0,1/18,1,18
raw_ce8544c5_f4b8_47de_866f_98570cfb101a,raw_ce8544c5_f4b8_47de_866f_98570cfb101a,Caeden Van Aswegen,Caeden Van Aswegen,0,0,0,1/12,1,12
raw_3a0540c5_5052_4147_b504_bdeca47fff4e,raw_3a0540c5_5052_4147_b504_bdeca47fff4e,Caitlin Seccafien,Caitlin Seccafien,0,0,0,0/2,0,2
caleb_eckert,caleb_eckert,Caleb Eckert,Caleb Eckert,0,0,0,1/4,1,4
